Unique_Squirrel_Id,Latitude,Longitude,Shift,Date,Age,Location,Specific_Location,Primary_Fur_Color,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
36H-PM-1008-02,40.79287118,-73.95354107,PM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
29C-AM-1007-06,40.78917746,-73.96391593,AM,2018-10-07,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,False,True
38C-PM-1014-09,40.79593378,-73.95795643,PM,2018-10-14,Adult,Ground Plane,,Black,False,False,False,True,False,,False,False,False,False,False,True,False,False
31H-PM-1008-02,40.78925084,-73.95746481,PM,2018-10-08,Juvenile,Above Ground,,Gray,True,False,True,False,False,,False,False,False,False,True,False,True,False
8H-AM-1017-06,40.77059996,-73.97025268,AM,2018-10-17,Adult,Above Ground,,Gray,False,True,False,True,False,,False,False,False,False,False,False,True,False
34F-AM-1007-01,40.79186135,-73.95796459,AM,2018-10-07,Adult,Above Ground,,Gray,True,False,True,False,False,,False,False,False,False,False,False,False,True
13H-PM-1010-02,40.77495053,-73.96732534,PM,2018-10-10,Adult,Above Ground,tree,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
22F-PM-1014-06,40.78203098,-73.96400328,PM,2018-10-14,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,True,False,True,False
32E-AM-1007-13,40.79058473,-73.95959332,AM,2018-10-07,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
35C-AM-1007-05,40.7937797,-73.96022221,AM,2018-10-07,Adult,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,False
17E-AM-1017-05,40.77924987,-73.96806351,AM,2018-10-17,Adult,Above Ground,Branch,Black,False,False,False,False,True,,False,False,False,False,False,False,True,False
2B-PM-1013-01,40.76869053,-73.98016664,PM,2018-10-13,Adult,Ground Plane,,Gray,True,False,False,False,False,Running (With Nut),False,False,False,False,False,False,False,False
19D-AM-1007-01,40.78134774,-73.96756343,AM,2018-10-07,Juvenile,Ground Plane,,Gray,False,False,True,True,False,,False,False,False,False,False,False,False,False
40B-AM-1019-03,40.79828863,-73.95849706,AM,2018-10-19,Juvenile,Ground Plane,,Gray,True,True,False,False,False,,False,False,False,False,True,True,False,False
3E-PM-1008-07,40.76819544,-73.97602982,PM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,True,True,,False,False,False,False,False,False,True,False
39C-PM-1006-01,40.79723991,-73.95688021,PM,2018-10-06,Adult,Ground Plane,,Gray,True,False,False,False,True,,False,False,False,False,False,False,True,False
6G-AM-1008-02,40.76905264,-73.97246424,AM,2018-10-08,Juvenile,Ground Plane,bush,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
14F-AM-1007-05,40.77604327,-73.96901758,AM,2018-10-07,Juvenile,Ground Plane,,Gray,False,False,False,True,False,,False,False,False,False,False,False,True,False
6I-PM-1013-06,40.7690281,-73.97040828,PM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,False,False,Playing With #5,False,False,False,False,True,False,False,False
15F-PM-1010-05,40.77688116,-73.96849107,PM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
8B-PM-1012-02,40.77352326,-73.97686748,PM,2018-10-12,Adult,Ground Plane,hiding in bushes,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,True
3A-PM-1017-06,40.76988852,-73.97970849,PM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,True
36I-AM-1017-02,40.79231304,-73.95281927,AM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
5E-AM-1008-06,40.76926026,-73.974563,AM,2018-10-08,Adult,Ground Plane,,Cinnamon,True,False,False,False,False,,False,False,False,False,False,True,False,False
32E-PM-1017-13,40.79033658,-73.95950023,PM,2018-10-17,Adult,,,Gray,False,False,False,True,True,,False,False,False,False,False,False,True,False
5F-PM-1007-03,40.76894867,-73.9741825,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,False,False,Hiding Nut,False,False,False,False,True,False,True,False
11B-PM-1014-05,40.77613936,-73.97492439,PM,2018-10-14,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-PM-1018-06,40.77801434,-73.96838133,PM,2018-10-18,Adult,Ground Plane,On a rock,Cinnamon,False,False,False,False,True,,False,False,False,False,True,False,True,False
13F-AM-1007-02,40.77558981,-73.96942403,AM,2018-10-07,Adult,,,Cinnamon,False,False,False,True,True,,False,False,False,False,False,False,True,False
20B-PM-1013-10,40.78283647,-73.9689001,PM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,False,True,Drank From A Pond Of Rain Water,False,False,False,False,False,False,True,False
3A-PM-1017-05,40.76967537,-73.98045289,PM,2018-10-17,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
